lgacode16,pd_gd_gc_indig_f,pd_gd_gc_indig_m,pd_gd_gc_non_indig_f,pd_gd_gc_non_indig_m,pd_gd_gc_indig_stat_notstated_f,pd_gd_gc_indig_stat_notstated_m,bd_indig_f,bd_indig_m,bd_non_indig_f,bd_non_indig_m,bd_indig_stat_notstated_f,bd_indig_stat_notstated_m,adip_dip_indig_f,adip_dip_indig_m,adip_dip_non_indig_f,adip_dip_non_indig_m,adip_dip_indig_stat_notstated_f,adip_dip_indig_stat_notstated_m,ct_iii_iv_indig_f,ct_iii_iv_indig_m,ct_iii_iv_non_indig_f,ct_iii_iv_non_indig_m,ct_iii_iv_indig_stat_notstated_f,ct_iii_iv_indig_stat_notstated_m,ct_i_ii_indig_f,ct_i_ii_indig_m,ct_i_ii_non_indig_f,ct_i_ii_non_indig_m,ct_i_ii_indig_stat_notstated_f,ct_i_ii_indig_stat_notstated_m
10050,5,3,1112,762,3,7,16,13,2900,1760,13,0,29,15,2094,1371,13,11,74,89,2801,5304,21,45,16,5,415,208,0,0
10130,10,15,1186,1092,3,8,28,14,1984,1235,12,11,56,19,1032,606,11,3,93,117,1108,2133,14,15,22,8,181,120,0,0
10250,8,5,999,792,3,3,30,27,2756,1903,11,13,43,36,2030,1201,17,5,70,108,1937,4230,14,25,9,9,286,127,0,0
10300,3,0,22,9,0,0,6,3,59,32,0,0,3,0,53,24,0,0,9,9,76,153,0,0,0,0,13,10,0,0
10470,21,3,892,672,4,0,44,14,2324,1360,13,4,55,28,1583,988,7,10,114,133,1919,4293,23,32,23,14,329,152,3,3
10550,14,7,729,489,4,3,13,9,1797,1097,12,9,22,9,1407,873,10,9,48,64,1577,3738,20,46,13,3,294,126,3,0
10600,5,0,337,196,5,3,6,5,877,497,13,0,9,5,594,357,4,4,30,43,566,1318,6,9,0,3,86,59,0,0
10650,0,0,78,36,0,0,3,0,327,160,0,0,3,3,264,183,0,3,13,22,443,861,3,6,3,0,55,22,3,0
10750,52,30,8423,8453,34,19,144,69,22506,17477,77,39,223,110,12161,10382,49,47,414,463,11835,22671,64,121,82,33,1928,992,4,3
10800,0,0,55,19,0,0,4,0,214,100,0,0,3,0,159,86,0,0,14,16,238,564,0,7,4,0,56,21,0,0
10850,3,0,117,81,0,0,3,0,356,189,0,0,6,3,269,142,0,4,12,25,390,744,4,15,3,0,55,23,0,0
10900,38,12,3537,2614,17,12,66,45,6428,4456,30,21,79,32,4227,2999,17,16,110,155,3304,6993,21,55,4,6,432,261,0,0
10950,0,0,20,16,0,0,3,0,99,49,0,0,10,3,66,36,0,0,22,26,83,230,0,3,0,0,17,10,0,0
11100,5,9,1709,1614,3,3,25,10,3870,3186,16,9,34,13,1910,1559,5,0,39,65,1321,3045,11,23,3,3,190,115,0,0
11150,3,0,22,10,0,0,15,5,97,42,0,0,24,12,72,43,0,0,33,30,50,133,0,0,8,5,15,3,0,0
11200,3,0,11,5,0,0,11,0,51,11,0,0,10,4,28,17,0,0,33,38,19,48,0,3,14,14,7,5,0,0
11250,8,3,227,123,0,0,32,7,567,295,0,0,36,13,465,285,8,4,68,73,832,1869,5,29,9,6,141,64,0,0
11300,0,0,1986,1786,9,3,9,17,3949,3426,11,5,9,3,1512,1222,4,5,6,10,737,1488,3,11,0,0,117,69,0,0
11350,6,4,996,670,23,7,24,16,2606,1835,32,16,27,12,1779,933,21,9,31,54,1207,2777,12,29,0,5,149,76,3,0
11400,0,3,216,161,3,0,13,0,693,398,8,0,14,0,524,348,4,3,15,37,586,1385,10,16,8,5,106,43,0,3
11450,15,8,1588,1082,6,5,72,22,4215,2629,19,12,75,42,3554,2446,20,10,105,163,3600,8410,11,32,13,9,558,200,3,0
11500,32,12,2947,2836,8,11,108,35,7365,5509,23,20,198,76,5904,4213,37,22,338,318,6792,13172,42,65,59,19,1063,522,8,3
11520,6,6,5134,4581,12,10,31,13,9814,8389,24,18,26,8,4036,3020,16,11,11,40,2005,4514,5,17,0,0,303,189,0,0
11570,29,22,7809,7880,25,16,89,37,20266,17956,57,52,86,43,13107,10293,64,33,121,156,9609,20918,62,163,13,7,1631,846,10,4
11600,0,0,21,12,0,0,3,0,119,60,3,0,9,0,80,55,0,0,6,18,102,211,3,0,0,4,19,11,0,0
11650,79,54,5480,4339,40,14,302,137,15943,10898,77,49,376,189,14593,9338,119,52,792,967,17369,34994,136,304,133,71,2329,1123,24,10
11700,0,0,16,7,0,0,3,0,39,20,3,0,18,4,24,21,0,0,20,27,40,82,0,3,3,4,10,6,0,0
11720,7,0,485,309,0,0,54,23,1550,842,11,13,87,35,1690,962,12,6,243,303,3180,6438,17,47,41,21,504,204,3,6
11730,19,15,567,466,9,4,44,20,1890,1158,14,10,97,27,1765,1084,16,14,197,196,2716,5494,25,56,24,26,406,200,3,0
11750,3,0,43,34,0,0,12,0,135,97,5,0,8,4,114,46,0,0,24,47,186,477,4,9,3,3,34,5,0,0
11800,28,12,1215,921,3,3,99,44,3861,2584,24,14,117,56,3320,1914,26,13,223,255,3622,7518,18,65,46,22,645,307,3,3
12000,3,0,51,31,0,0,4,3,181,75,0,0,0,4,138,75,0,0,3,8,203,424,0,0,0,0,31,20,0,0
12150,3,0,37,6,0,0,7,3,124,55,0,0,22,3,84,44,0,0,43,47,113,223,0,11,10,3,19,12,0,0
12350,0,3,111,78,0,0,12,4,461,248,3,0,27,5,427,204,3,5,51,60,567,1259,4,5,15,3,103,46,0,0
12380,14,9,5511,6226,19,11,39,19,13527,12614,26,35,61,24,7737,6669,29,40,68,95,5333,11193,27,69,19,7,927,519,11,0
12700,0,0,133,89,0,0,10,5,407,222,3,3,17,5,401,234,4,3,13,22,450,1099,9,16,5,3,63,25,0,0
12730,0,0,119,55,0,0,4,3,360,195,0,0,10,3,315,176,0,0,19,13,434,856,8,4,0,3,59,30,0,0
12750,13,3,732,571,9,5,42,16,1678,1197,15,8,40,34,1574,999,8,8,96,112,1854,4375,9,34,17,13,250,153,0,0
12850,10,7,1877,1497,0,6,22,9,7902,6835,28,19,40,16,6513,4905,37,24,71,85,5681,11407,31,78,9,8,1135,558,8,4
12870,0,0,131,72,0,0,4,0,436,217,0,0,5,3,421,244,5,0,7,16,560,1423,3,18,5,3,107,32,0,0
12900,5,0,109,56,0,0,20,6,379,190,0,0,29,10,311,170,3,0,62,59,397,850,9,10,4,0,85,36,0,0
12930,12,12,5938,5864,17,13,30,24,13170,11728,42,29,43,16,6617,5129,22,15,32,62,3749,8409,19,57,3,0,585,314,4,3
12950,0,0,29,20,0,0,7,3,170,53,3,0,17,7,120,51,0,0,28,30,202,360,0,0,9,3,27,14,0,0
13010,0,0,100,51,0,0,8,4,312,172,0,3,11,0,330,176,0,0,26,25,409,768,4,8,7,10,65,48,0,0
13310,8,4,470,355,3,5,29,8,1145,746,4,3,23,17,1235,778,7,6,48,61,1570,3182,20,26,13,3,192,113,3,0
13340,4,0,142,76,0,0,3,3,444,248,0,0,7,3,439,251,0,4,19,23,536,1088,3,17,0,0,71,42,5,0
13450,0,0,280,203,0,0,10,4,975,630,4,0,30,10,739,427,5,5,58,91,1067,2349,15,25,14,5,165,62,0,0
13510,0,0,119,62,3,0,5,0,410,233,3,0,12,5,393,237,3,0,35,33,525,1096,6,9,3,3,98,40,0,0
13550,7,0,128,79,0,0,14,4,477,274,6,0,32,3,411,201,3,0,95,92,527,1158,4,9,23,9,69,49,0,0
13660,0,0,44,18,0,0,0,4,204,99,0,0,3,0,182,90,7,0,13,13,232,398,3,7,0,0,32,19,0,0
13800,27,16,1176,751,4,4,59,13,3053,1636,15,8,66,44,2904,1802,18,5,142,197,3445,8095,18,44,19,13,482,179,0,3
13850,0,0,25,18,0,0,3,0,90,46,0,0,0,3,88,52,3,3,6,12,120,241,4,3,3,3,28,8,0,0
13910,0,3,192,115,0,7,9,0,756,388,3,0,13,14,673,334,6,5,38,58,861,1822,7,15,3,8,141,59,6,0
14000,13,22,7664,7960,28,22,37,22,15095,13102,55,43,31,17,6902,5137,40,19,28,53,3553,7999,21,42,9,5,574,329,4,5
14100,0,3,772,757,0,4,3,3,1540,1377,7,5,3,8,658,387,3,0,3,0,243,537,4,0,0,0,48,20,0,0
14170,77,38,12828,9871,32,27,120,105,22501,18566,67,46,95,49,7507,6057,25,21,92,107,3897,8197,17,43,21,9,572,385,4,3
14200,4,0,141,79,3,0,8,8,638,291,4,4,19,10,518,287,0,0,80,76,840,1574,4,13,11,6,113,60,3,0
14300,0,0,63,20,0,0,4,0,203,118,0,0,6,0,172,95,0,0,15,22,262,547,3,8,3,0,58,31,0,0
14350,10,7,279,162,0,0,36,12,907,537,11,3,75,34,907,480,3,4,160,171,1420,3043,18,41,35,18,210,139,3,0
14400,8,4,778,582,3,3,20,7,1602,1292,9,5,18,16,1164,860,12,7,23,45,895,2301,9,21,5,0,129,56,0,0
14500,8,10,7648,8524,21,19,19,20,15030,13722,40,43,10,11,5452,3491,17,11,3,6,1575,2996,10,20,0,0,302,162,3,3
14550,4,4,121,81,0,0,7,0,375,230,3,0,10,3,351,183,0,3,18,20,436,846,10,7,5,0,69,37,0,0
14600,3,0,61,27,0,0,14,7,210,75,0,0,22,10,161,79,0,0,43,52,194,415,3,6,14,5,46,24,0,0
