lgacode16,did_not_go_to_school_indig_f,did_not_go_to_school_indig_m,did_not_go_to_school_non_indig_f,did_not_go_to_school_non_indig_m,did_not_go_to_school_indig_stat_notstated_f,did_not_go_to_school_indig_stat_notstated_m,y8_below_indig_f,y8_below_indig_m,y8_below_non_indig_f,y8_below_non_indig_m,y8_below_indig_stat_notstated_f,y8_below_indig_stat_notstated_m,y9_equivalent_indig_f,y9_equivalent_indig_m,y9_equivalent_non_indig_f,y9_equivalent_non_indig_m,y9_equivalent_indig_stat_notstated_f,y9_equivalent_indig_stat_notstated_m,y10_equivalent_indig_f,y10_equivalent_indig_m,y10_equivalent_non_indig_f,y10_equivalent_non_indig_m,y10_equivalent_indig_stat_notstated_f,y10_equivalent_indig_stat_notstated_m,y11_equivalent_indig_f,y11_equivalent_indig_m,y11_equivalent_non_indig_f,y11_equivalent_non_indig_m,y11_equivalent_indig_stat_notstated_f,y11_equivalent_indig_stat_notstated_m,y12_equivalent_indig_f,y12_equivalent_indig_m,y12_equivalent_non_indig_f,y12_equivalent_non_indig_m,y12_equivalent_indig_stat_notstated_f,y12_equivalent_indig_stat_notstated_m
10050,7,6,148,127,5,4,39,32,894,888,19,9,63,46,1305,1340,16,13,123,125,4746,4816,38,50,53,35,1935,1915,16,21,110,96,9182,7479,53,46
10130,4,6,32,32,0,0,62,85,442,474,10,12,93,92,560,587,7,7,176,190,2203,2178,25,26,56,52,501,485,3,5,216,156,6325,5416,37,31
10250,7,5,42,33,0,3,32,38,750,710,10,12,54,45,1257,1071,11,14,142,125,4871,4296,38,47,46,41,965,964,12,8,142,132,7442,6599,38,33
10300,0,0,6,7,0,0,8,17,67,83,0,0,10,7,55,97,0,0,17,16,169,217,0,3,4,0,97,89,0,0,17,6,280,200,3,3
10470,3,3,47,41,0,3,35,40,594,614,8,4,81,59,928,965,4,9,183,156,3956,4216,45,48,50,59,789,871,4,15,226,159,7378,6044,51,43
10550,3,3,24,30,0,0,31,46,638,720,15,13,35,39,915,1000,12,15,97,79,3633,3734,57,53,30,25,1198,1126,6,16,97,74,5537,4631,55,39
10600,0,0,13,11,0,4,8,12,218,232,7,4,15,14,386,434,10,4,40,53,1355,1381,12,21,9,10,296,321,3,7,51,34,2265,1777,30,21
10650,0,0,9,14,0,0,6,9,217,276,9,9,9,17,260,381,9,8,12,16,810,890,13,9,3,7,447,404,6,10,23,13,1124,876,11,3
10750,22,26,1777,1138,18,4,234,226,6236,5178,77,55,394,333,5870,5485,66,49,917,838,22847,23313,159,162,290,218,5006,5703,36,39,856,674,71797,68452,302,306
10800,0,0,0,6,0,0,5,8,125,160,4,4,6,13,176,226,3,0,31,21,676,808,9,10,3,11,119,129,4,5,18,14,726,530,4,6
10850,0,0,3,7,0,0,0,9,134,177,0,5,3,9,185,217,0,4,22,28,829,899,13,15,14,11,154,155,0,4,19,16,1114,858,5,8
10900,5,0,58,73,0,3,24,25,669,571,5,12,42,39,1444,1257,10,15,158,188,7161,6787,61,51,45,40,1553,1519,16,14,247,213,17944,15674,79,85
10950,0,0,3,0,0,0,7,15,51,56,0,5,16,18,74,94,0,0,48,40,264,302,3,4,17,11,46,68,0,0,41,22,303,245,8,3
11100,0,0,322,229,0,0,12,17,1018,775,8,7,21,31,627,526,7,4,81,83,2385,2570,20,19,32,12,596,731,0,0,139,106,11998,11646,42,47
11150,0,9,0,3,0,0,30,30,24,46,0,3,59,35,46,53,0,0,94,82,112,166,3,4,38,24,33,43,0,0,52,37,270,204,3,0
11200,4,3,0,3,0,0,53,61,10,16,0,0,64,54,9,29,0,0,107,98,48,84,5,0,31,17,17,17,0,0,58,54,109,72,7,4
11250,5,4,12,25,0,0,44,56,586,616,8,10,72,59,781,677,9,14,148,129,2267,2154,22,24,54,50,410,491,8,11,94,80,1857,1566,13,21
11300,0,0,375,275,3,3,6,4,934,580,3,4,8,0,392,366,3,0,14,8,1396,1290,3,11,4,6,334,387,5,0,24,29,11367,10839,32,41
11350,3,0,15,34,3,3,7,14,297,266,3,5,9,9,464,476,9,6,51,55,2521,2444,21,26,18,17,759,781,7,12,93,78,6974,5943,92,54
11400,0,3,12,15,0,0,11,12,241,340,4,9,16,23,347,407,4,3,40,60,1394,1611,18,21,14,6,282,267,4,3,37,25,2084,1660,24,9
11450,8,4,144,112,0,0,19,21,920,843,9,9,55,56,1673,1598,4,9,192,172,7560,8173,46,49,36,54,1510,1743,16,8,252,202,14733,12506,70,65
11500,4,12,687,434,14,0,150,110,2662,2301,15,24,250,207,3819,3493,30,37,588,482,14267,14133,101,86,192,140,3022,3214,17,14,656,420,29205,27123,152,147
11520,0,0,467,337,4,0,11,9,1664,1223,11,5,16,9,1070,804,12,8,33,39,4570,3742,24,27,7,10,976,1078,9,9,77,74,25786,24017,74,79
11570,7,9,4682,3298,30,24,80,53,10264,8566,95,70,100,85,5875,5298,53,52,253,206,20496,20827,130,164,61,53,4490,5143,24,28,368,278,75469,74347,367,352
11600,4,0,0,8,0,0,3,8,51,98,3,3,12,13,56,92,3,3,17,35,236,330,4,0,3,6,67,80,0,0,21,12,387,305,4,6
11650,18,23,350,407,3,12,227,224,5518,4899,96,94,445,442,10676,8986,116,98,1281,1244,39177,36111,359,327,336,352,7256,7809,76,82,1325,1075,54522,49030,374,352
11700,0,0,0,0,0,0,32,45,22,47,0,3,42,42,29,55,0,0,89,78,94,99,3,3,23,18,25,40,0,0,30,23,135,136,8,3
11720,5,5,49,58,0,0,99,101,1206,1190,20,13,168,145,2305,1994,32,31,371,412,6843,7241,68,64,116,107,1293,1415,21,19,277,233,6347,5031,48,53
11730,4,7,54,67,0,0,80,86,1160,1366,22,38,118,114,1849,1921,24,23,360,309,6748,6502,100,69,111,75,1197,1117,14,19,263,209,6416,5628,61,46
11750,0,5,3,4,0,0,19,32,67,113,0,7,29,36,99,120,0,3,72,74,395,536,4,9,28,20,107,126,0,0,46,23,554,418,8,6
11800,11,3,177,149,3,0,80,103,1279,1360,18,19,163,123,2108,2088,23,13,384,338,8286,7724,89,75,106,94,1811,1809,15,13,362,289,11831,10254,80,72
12000,0,0,4,3,0,0,3,0,77,115,0,0,3,7,156,177,0,0,10,5,485,554,4,4,4,5,89,96,3,4,18,11,571,392,6,0
12150,7,4,4,8,0,0,36,56,63,112,5,4,53,53,75,98,0,0,123,82,257,340,6,6,46,29,58,62,0,3,102,47,403,280,8,8
12350,0,3,10,16,0,4,30,48,307,426,0,8,49,53,446,503,5,10,115,104,1533,1629,22,8,17,23,303,230,4,4,70,54,1527,1211,15,14
12380,3,8,3253,3166,28,28,38,43,5587,5640,41,38,52,52,3171,3390,36,34,156,149,11285,12173,77,100,39,30,2524,3269,13,26,169,148,46990,49763,206,235
12700,0,0,7,7,0,0,13,23,158,191,0,5,17,19,264,319,4,0,48,46,1129,1306,11,20,16,12,190,205,3,3,30,23,1278,950,17,11
12730,0,0,18,21,0,0,13,13,183,246,0,3,22,16,299,323,3,8,42,29,813,915,16,20,10,16,306,365,4,3,39,20,1273,968,18,7
12750,5,6,27,35,0,0,77,71,729,843,14,11,114,106,1240,1232,11,18,211,173,4466,4387,45,48,53,59,1009,908,6,10,147,131,5866,5253,43,49
12850,3,0,6389,4038,31,21,49,48,9068,6986,67,47,59,69,4217,3941,38,49,151,128,11398,12299,66,101,33,24,2864,3412,25,33,156,134,38064,37461,171,189
12870,0,0,12,19,0,0,6,6,312,384,5,0,3,3,396,483,3,10,18,26,1189,1416,14,23,4,6,633,617,0,8,26,12,1683,1268,9,4
12900,0,3,4,18,0,0,25,51,163,262,0,3,41,35,245,334,7,4,110,88,978,1069,15,22,31,25,215,217,0,0,107,70,1225,980,18,11
12930,4,4,1070,718,4,5,15,10,2982,2177,33,19,26,15,2366,1779,18,19,92,71,8391,7314,60,58,22,13,1732,2047,18,14,137,119,39829,38556,123,131
12950,0,3,3,0,0,0,19,28,107,157,3,3,37,23,141,171,0,3,73,45,456,509,7,10,27,18,81,61,3,3,32,28,511,353,9,0
13010,0,3,12,12,0,0,21,24,254,304,4,7,19,24,268,337,4,4,46,43,1071,1049,15,8,18,10,181,168,0,3,35,30,1131,883,12,9
